Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.7118639,1.1030438,1.3328314,0.0000046060,2025-10-11 10:07:19
2,1.6035160,1.4820195,1.3213137,0.0000064086,2025-10-11 10:07:28
3,1.4973595,1.6243402,1.2954035,0.0000093624,2025-10-11 10:07:36
4,1.5162611,1.4901712,1.2525787,0.0000133928,2025-10-11 10:07:44
5,1.2767436,1.1877939,1.1547075,0.0000183980,2025-10-11 10:07:53
6,1.0068376,0.8760117,0.9358430,0.0000242516,2025-10-11 10:08:00
7,0.7689412,1.2996137,0.6331363,0.0000308058,2025-10-11 10:08:09
8,0.5300022,1.3047452,0.5246689,0.0000378952,2025-10-11 10:08:17
9,0.4044275,2.1250696,0.4279204,0.0000453407,2025-10-11 10:08:25
10,0.3224394,0.6188564,0.5091954,0.0000529543,2025-10-11 10:08:33
11,0.3269996,0.9225589,0.4922031,0.0000605439,2025-10-11 10:08:41
12,0.2489857,0.6596807,0.4771466,0.0000679177,2025-10-11 10:08:49
13,0.2139207,0.7300203,0.5419097,0.0000748896,2025-10-11 10:08:57
14,0.1738979,0.4789570,0.4602106,0.0000812836,2025-10-11 10:09:05
15,0.1430917,0.7879874,0.4444310,0.0000869382,2025-10-11 10:09:14
16,0.1222778,0.5425395,0.4383753,0.0000917106,2025-10-11 10:09:22
17,0.0884977,0.3791932,0.4423387,0.0000954803,2025-10-11 10:09:30
18,0.0700754,0.4506707,0.4498218,0.0000981522,2025-10-11 10:09:38
19,0.0575469,0.4302872,0.4575122,0.0000996588,2025-10-11 10:09:46
20,0.0534689,0.3473051,0.4224152,0.0000999976,2025-10-11 10:09:55
21,0.0473458,0.6137323,0.4498422,0.0000999398,2025-10-11 10:10:03
22,0.0396119,0.6040264,0.4442788,0.0000998050,2025-10-11 10:10:11
23,0.0328644,0.4623003,0.4401144,0.0000995933,2025-10-11 10:10:20
24,0.0421690,0.3729364,0.4576448,0.0000993053,2025-10-11 10:10:28
25,0.0424402,0.4126882,0.4605887,0.0000989411,2025-10-11 10:10:36
26,0.0370191,0.5370123,0.4335778,0.0000985016,2025-10-11 10:10:44
27,0.0258933,0.6273480,0.4434100,0.0000979872,2025-10-11 10:10:53
28,0.0227507,0.5098884,0.4479954,0.0000973989,2025-10-11 10:11:00
29,0.0188117,0.5946137,0.4383164,0.0000967374,2025-10-11 10:11:08
30,0.0145826,0.2696487,0.4346668,0.0000960039,2025-10-11 10:11:17
31,0.0140684,0.4100836,0.4307356,0.0000951995,2025-10-11 10:11:25
32,0.0124461,0.3982938,0.4404675,0.0000943254,2025-10-11 10:11:33
33,0.0122064,0.3981029,0.4417464,0.0000933829,2025-10-11 10:11:41
34,0.0111713,0.6237957,0.4418028,0.0000923735,2025-10-11 10:11:49
35,0.0104986,0.4603094,0.4485034,0.0000912988,2025-10-11 10:11:58
36,0.0101290,0.6492960,0.4409674,0.0000901604,2025-10-11 10:12:06
37,0.0106284,0.6967284,0.4390827,0.0000889601,2025-10-11 10:12:14
38,0.0117337,0.4703673,0.4506735,0.0000876997,2025-10-11 10:12:22
39,0.0092621,0.3430035,0.4470144,0.0000863812,2025-10-11 10:12:31
40,0.0115192,0.6120325,0.4396287,0.0000850066,2025-10-11 10:12:39
41,0.0107100,0.4769191,0.4412498,0.0000835780,2025-10-11 10:12:47
42,0.0087288,0.5478242,0.4452189,0.0000820977,2025-10-11 10:12:55
43,0.0111179,0.5273957,0.4430820,0.0000805678,2025-10-11 10:13:04
44,0.0105141,0.5360028,0.4429798,0.0000789908,2025-10-11 10:13:12
45,0.0086416,0.3632610,0.4477216,0.0000773691,2025-10-11 10:13:21
46,0.0083806,0.6700135,0.4384437,0.0000757052,2025-10-11 10:13:29
47,0.0101893,0.6565481,0.4431078,0.0000740017,2025-10-11 10:13:37
48,0.0085821,0.4370919,0.4481744,0.0000722612,2025-10-11 10:13:46
49,0.0085371,0.7379284,0.4401488,0.0000704863,2025-10-11 10:13:55
50,0.0078343,0.5846888,0.4446565,0.0000686799,2025-10-11 10:14:03
